annotator,position,time_stamp
25,2,49.044429
25,3,247.77071
25,4,18.809693
25,5,54.654361
25,6,19.340344
25,7,13.731887
25,8,12.264664999999999
25,9,207.295058
25,10,27.507871
25,11,13.147245000000002
25,12,14.256178
25,13,30.237799
25,14,9.211971
25,15,13.656932999999999
25,16,17.852978
25,17,22.794463
25,18,11.340195
25,19,9.95877
25,20,11.572561
25,21,14.923732000000001
25,22,10.26142
25,23,14.92959
25,24,10.138127
24,0,85.453734
24,1,24.89031
24,2,19.08309
24,3,28.413328999999997
24,4,25.178362
24,5,15.391531
24,6,29.171407000000002
24,7,20.824191
24,8,23.798789000000003
24,9,25.425044
