,,p_value
__REFERENCE__,seneca,5.16261e-11
BART,abssentrw,7.498574e-06
onmt_pg,abssentrw,1.260464e-05
abssentrw,seneca,0.5506695
BART,onmt_pg,0.8283537
BART,seneca,3.150266e-06
onmt_pg,seneca,5.311917e-05
__REFERENCE__,abssentrw,2.088133e-09
__REFERENCE__,BART,0.5355259
__REFERENCE__,onmt_pg,0.01129287
__REFERENCE__,seneca,6.856152e-09
BART,abssentrw,6.556452e-05
onmt_pg,abssentrw,1.490913e-05
seneca,abssentrw,0.01130116
BART,onmt_pg,0.1278895
BART,seneca,0.001378204
onmt_pg,seneca,0.003506104
__REFERENCE__,abssentrw,0.0001109673
__REFERENCE__,BART,0.01312054
__REFERENCE__,onmt_pg,0.03810904
__REFERENCE__,seneca,9.194339e-07
BART,abssentrw,0.001296338
onmt_pg,abssentrw,8.946821e-05
abssentrw,seneca,0.8196037
BART,onmt_pg,0.6631867
BART,seneca,0.0001222683
onmt_pg,seneca,4.312561e-06
__REFERENCE__,abssentrw,0.0001455361
__REFERENCE__,BART,0.0004899819
__REFERENCE__,onmt_pg,0.001255636
__REFERENCE__,seneca,6.580834e-15
BART,abssentrw,0.02524261
onmt_pg,abssentrw,0.003818031
abssentrw,seneca,0.8387459
BART,onmt_pg,0.8272925
BART,seneca,0.0001118851
onmt_pg,seneca,0.00147529
__REFERENCE__,abssentrw,3.651015e-08
__REFERENCE__,BART,0.08789398
__REFERENCE__,onmt_pg,0.004537517
__REFERENCE__,seneca,4.328767e-06
BART,abssentrw,0.007244355
onmt_pg,abssentrw,0.006479917
abssentrw,seneca,0.1688538
BART,onmt_pg,0.3891549
BART,seneca,0.000651353
onmt_pg,seneca,0.01518127
__REFERENCE__,abssentrw,0.009008735
__REFERENCE__,BART,0.001247394
__REFERENCE__,onmt_pg,0.0002318515
__REFERENCE__,seneca,1.978552e-10
abssentrw,BART,0.1873397
abssentrw,onmt_pg,0.259772
abssentrw,seneca,0.6072859
BART,onmt_pg,0.4813527
BART,seneca,8.422713e-09
onmt_pg,seneca,9.16077e-07
__REFERENCE__,abssentrw,3.351468e-13
__REFERENCE__,BART,0.0008999683
__REFERENCE__,onmt_pg,2.105703e-08
__REFERENCE__,seneca,8.081892e-09
BART,abssentrw,1.374416e-06
onmt_pg,abssentrw,0.0003272192
seneca,abssentrw,0.04310848
BART,onmt_pg,0.02418189
BART,seneca,0.0002997811
onmt_pg,seneca,0.1957687
__REFERENCE__,abssentrw,7.427126e-10
__REFERENCE__,BART,0.243987
__REFERENCE__,onmt_pg,0.0005620111
__REFERENCE__,seneca,0.002819086
BART,abssentrw,9.427519e-12
onmt_pg,abssentrw,3.854016e-07
seneca,abssentrw,0.01142165
BART,onmt_pg,0.002839784
BART,seneca,0.005464545
onmt_pg,seneca,0.2497452
__REFERENCE__,abssentrw,2.147911e-05
__REFERENCE__,BART,0.08438673
__REFERENCE__,onmt_pg,0.03840887
__REFERENCE__,seneca,0.002796221
BART,abssentrw,0.0006089705
onmt_pg,abssentrw,0.0005442655
abssentrw,seneca,0.1230295
BART,onmt_pg,0.348582
BART,seneca,0.009805738
onmt_pg,seneca,0.001730371
__REFERENCE__,abssentrw,1.428412e-05
__REFERENCE__,BART,0.141875
__REFERENCE__,onmt_pg,0.1156242
__REFERENCE__,seneca,2.003405e-05
BART,abssentrw,0.0002535109
onmt_pg,abssentrw,5.619314e-06
abssentrw,seneca,0.4677809
BART,onmt_pg,0.616489
BART,seneca,0.000278641
onmt_pg,seneca,2.983301e-05
__REFERENCE__,abssentrw,1.656606e-09
__REFERENCE__,BART,0.006923129
__REFERENCE__,onmt_pg,0.009811386
__REFERENCE__,seneca,0.0001615624
BART,abssentrw,0.000292089
onmt_pg,abssentrw,1.348939e-05
abssentrw,seneca,0.4065152
BART,onmt_pg,0.8280922
BART,seneca,0.02125499
onmt_pg,seneca,0.02827626
__REFERENCE__,abssentrw,1.494808e-09
__REFERENCE__,BART,0.003404928
__REFERENCE__,onmt_pg,0.07388644
__REFERENCE__,seneca,0.0006969905
BART,abssentrw,0.0001330706
onmt_pg,abssentrw,5.775261e-06
abssentrw,seneca,0.6098586
BART,onmt_pg,0.1177235
BART,seneca,0.06480914
onmt_pg,seneca,0.00712229
__REFERENCE__,abssentrw,9.742432e-15
__REFERENCE__,BART,0.02750332
__REFERENCE__,onmt_pg,0.0005578873
__REFERENCE__,seneca,0.0004559793
BART,abssentrw,1.251378e-09
onmt_pg,abssentrw,0.001003672
abssentrw,seneca,0.4622822
BART,onmt_pg,0.0198699
BART,seneca,0.001108524
onmt_pg,seneca,0.02073004
__REFERENCE__,abssentrw,0.0002145936
__REFERENCE__,BART,0.007525222
__REFERENCE__,onmt_pg,4.416125e-05
__REFERENCE__,seneca,4.614172e-05
abssentrw,BART,0.1638631
abssentrw,onmt_pg,0.2147448
abssentrw,seneca,0.6292926
BART,onmt_pg,0.5338216
BART,seneca,0.05338785
onmt_pg,seneca,0.04313296
__REFERENCE__,abssentrw,3.215871e-10
__REFERENCE__,BART,0.09892686
__REFERENCE__,onmt_pg,2.20883e-05
__REFERENCE__,seneca,5.465238e-19
BART,abssentrw,0.004671937
onmt_pg,abssentrw,0.01839941
abssentrw,seneca,0.7360292
BART,onmt_pg,0.07783148
BART,seneca,3.994023e-10
onmt_pg,seneca,0.0002239046
__REFERENCE__,abssentrw,5.605201e-12
__REFERENCE__,BART,0.03513753
__REFERENCE__,onmt_pg,0.001737333
__REFERENCE__,seneca,4.802057e-08
BART,abssentrw,0.0001190515
onmt_pg,abssentrw,6.72015e-06
seneca,abssentrw,0.001186711
BART,onmt_pg,0.4468686
BART,seneca,0.006103595
onmt_pg,seneca,0.01491488
__REFERENCE__,abssentrw,6.678755e-06
__REFERENCE__,BART,0.08391188
__REFERENCE__,onmt_pg,0.0391385
__REFERENCE__,seneca,0.0001113309
BART,abssentrw,0.0264452
onmt_pg,abssentrw,0.04114981
abssentrw,seneca,0.9871632
BART,onmt_pg,0.5848267
BART,seneca,0.0005209409
onmt_pg,seneca,4.973589e-05
__REFERENCE__,abssentrw,2.147526e-06
__REFERENCE__,BART,0.0003648411
__REFERENCE__,onmt_pg,1.146807e-05
__REFERENCE__,seneca,5.226883e-10
BART,abssentrw,0.001029233
onmt_pg,abssentrw,0.004647201
abssentrw,seneca,0.114725
BART,onmt_pg,0.5218929
BART,seneca,0.003148185
onmt_pg,seneca,0.002749215
__REFERENCE__,abssentrw,0.004837331
__REFERENCE__,BART,0.1670344
__REFERENCE__,onmt_pg,0.0396693
__REFERENCE__,seneca,0.0005316086
BART,abssentrw,0.03679778
abssentrw,onmt_pg,0.1083426
abssentrw,seneca,0.8185457
BART,onmt_pg,0.06191147
BART,seneca,7.793728e-07
onmt_pg,seneca,0.001830192
__REFERENCE__,abssentrw,0.0004497564
__REFERENCE__,BART,0.002772573
__REFERENCE__,onmt_pg,2.339687e-09
__REFERENCE__,seneca,4.737248e-09
abssentrw,BART,0.1028856
abssentrw,onmt_pg,0.400516
abssentrw,seneca,0.5251025
BART,onmt_pg,0.03335624
BART,seneca,0.0006027275
onmt_pg,seneca,0.005455935
__REFERENCE__,abssentrw,4.213166e-05
__REFERENCE__,BART,0.3442067
__REFERENCE__,onmt_pg,0.01414278
__REFERENCE__,seneca,3.958259e-14
BART,abssentrw,0.006563349
onmt_pg,abssentrw,0.00458537
abssentrw,seneca,0.6930044
BART,onmt_pg,0.3367239
BART,seneca,6.543675e-07
onmt_pg,seneca,2.031674e-05
__REFERENCE__,abssentrw,1.063446e-32
__REFERENCE__,BART,0.1868985
__REFERENCE__,onmt_pg,0.006338304
__REFERENCE__,seneca,0.0002125673
BART,abssentrw,1.788043e-11
onmt_pg,abssentrw,1.43813e-08
seneca,abssentrw,9.822123e-05
BART,onmt_pg,0.07143946
BART,seneca,0.001133853
onmt_pg,seneca,0.08443578
__REFERENCE__,abssentrw,1.361418e-06
__REFERENCE__,BART,0.02754743
__REFERENCE__,onmt_pg,0.02100743
__REFERENCE__,seneca,3.422523e-08
BART,abssentrw,0.00419469
onmt_pg,abssentrw,0.001431224
abssentrw,seneca,0.6052841
BART,onmt_pg,0.8706625
BART,seneca,1.645582e-08
onmt_pg,seneca,5.460459e-05
__REFERENCE__,abssentrw,1.045322e-09
__REFERENCE__,BART,0.02521657
__REFERENCE__,onmt_pg,0.008524283
__REFERENCE__,seneca,9.951942e-07
