,,p_value
BART,__REFERENCE__,1.346427e-08
onmt_pg,__REFERENCE__,0.0003114857
__REFERENCE__,seneca,5.981126e-08
BART,abssentrw,2.903624e-11
onmt_pg,abssentrw,3.590715e-06
abssentrw,seneca,0.0001138864
BART,onmt_pg,0.0004367212
BART,seneca,1.144695e-31
onmt_pg,seneca,2.00259e-20
__REFERENCE__,abssentrw,0.6945168
BART,__REFERENCE__,4.948576e-18
onmt_pg,__REFERENCE__,8.439902e-08
__REFERENCE__,seneca,1.98904e-08
BART,abssentrw,1.27394e-13
onmt_pg,abssentrw,1.534621e-06
abssentrw,seneca,2.172584e-06
BART,onmt_pg,1.658399e-05
BART,seneca,1.97544e-42
onmt_pg,seneca,3.20666e-22
__REFERENCE__,abssentrw,0.5471321
BART,__REFERENCE__,4.33506e-16
onmt_pg,__REFERENCE__,0.0001404613
__REFERENCE__,seneca,0.0003478028
BART,abssentrw,3.35858e-15
onmt_pg,abssentrw,0.0002556343
abssentrw,seneca,0.01840027
BART,onmt_pg,2.54557e-06
BART,seneca,1.807511e-22
onmt_pg,seneca,3.219109e-08
__REFERENCE__,abssentrw,0.09938259
BART,__REFERENCE__,2.114483e-06
onmt_pg,__REFERENCE__,0.0331163
__REFERENCE__,seneca,4.807557e-09
BART,abssentrw,3.723903e-08
onmt_pg,abssentrw,0.0006630893
abssentrw,seneca,0.002069427
BART,onmt_pg,0.0003786205
BART,seneca,1.064044e-21
onmt_pg,seneca,9.294559e-18
__REFERENCE__,abssentrw,0.7901198
BART,__REFERENCE__,4.474957e-13
onmt_pg,__REFERENCE__,0.003010998
__REFERENCE__,seneca,9.92076e-07
BART,abssentrw,1.439232e-09
onmt_pg,abssentrw,0.01349585
abssentrw,seneca,0.0002341494
BART,onmt_pg,3.068088e-05
BART,seneca,7.526965e-27
onmt_pg,seneca,6.864647e-13
__REFERENCE__,abssentrw,0.05887517
BART,__REFERENCE__,7.887511e-14
onmt_pg,__REFERENCE__,9.239657e-05
__REFERENCE__,seneca,0.000119973
BART,abssentrw,2.823149e-15
onmt_pg,abssentrw,7.046231e-09
abssentrw,seneca,0.09955487
BART,onmt_pg,2.794709e-06
BART,seneca,1.662149e-30
onmt_pg,seneca,5.988885e-12
__REFERENCE__,abssentrw,0.08649697
BART,__REFERENCE__,1.097044e-11
onmt_pg,__REFERENCE__,0.01851665
__REFERENCE__,seneca,1.28399e-09
BART,abssentrw,2.55767e-13
onmt_pg,abssentrw,0.0005913686
abssentrw,seneca,1.08345e-06
BART,onmt_pg,6.299036e-06
BART,seneca,8.164785e-28
onmt_pg,seneca,1.229819e-12
__REFERENCE__,abssentrw,0.04578423
BART,__REFERENCE__,9.218066e-06
onmt_pg,__REFERENCE__,0.0006188172
__REFERENCE__,seneca,4.343795e-06
BART,abssentrw,1.056962e-12
onmt_pg,abssentrw,6.5371e-10
abssentrw,seneca,0.0193062
BART,onmt_pg,0.06015716
BART,seneca,4.828249e-19
onmt_pg,seneca,4.313881e-14
__REFERENCE__,abssentrw,0.0521642
BART,__REFERENCE__,1.02495e-06
onmt_pg,__REFERENCE__,0.0001096513
__REFERENCE__,seneca,0.0003502262
BART,abssentrw,5.657473e-09
onmt_pg,abssentrw,3.672789e-07
abssentrw,seneca,0.05553036
BART,onmt_pg,0.03521199
BART,seneca,8.336219e-18
onmt_pg,seneca,6.874066e-10
__REFERENCE__,abssentrw,0.2458214
BART,__REFERENCE__,8.290567e-11
onmt_pg,__REFERENCE__,0.01761874
__REFERENCE__,seneca,6.053627e-11
BART,abssentrw,6.080978e-13
onmt_pg,abssentrw,0.0002780183
abssentrw,seneca,3.4268e-07
BART,onmt_pg,7.855083e-07
BART,seneca,1.219751e-34
onmt_pg,seneca,3.150431e-24
__REFERENCE__,abssentrw,0.1773659
BART,__REFERENCE__,4.966371e-11
onmt_pg,__REFERENCE__,7.21017e-09
__REFERENCE__,seneca,1.379184e-05
BART,abssentrw,5.864393e-17
onmt_pg,abssentrw,3.790774e-14
abssentrw,seneca,0.01940358
BART,onmt_pg,0.03542751
BART,seneca,1.144186e-24
onmt_pg,seneca,4.822695e-18
__REFERENCE__,abssentrw,0.02365557
BART,__REFERENCE__,8.713182e-09
onmt_pg,__REFERENCE__,0.006196692
__REFERENCE__,seneca,2.428712e-11
BART,abssentrw,3.879544e-11
onmt_pg,abssentrw,8.408052e-07
abssentrw,seneca,0.0004707385
BART,onmt_pg,0.0004137928
BART,seneca,2.26025e-31
onmt_pg,seneca,3.898319e-20
__REFERENCE__,abssentrw,0.1499758
BART,__REFERENCE__,5.164848e-08
onmt_pg,__REFERENCE__,0.0009128644
__REFERENCE__,seneca,1.254859e-06
BART,abssentrw,9.402969e-08
onmt_pg,abssentrw,3.045696e-05
abssentrw,seneca,0.003451164
BART,onmt_pg,0.01020197
BART,seneca,9.101983e-25
onmt_pg,seneca,1.785141e-13
__REFERENCE__,abssentrw,0.9203563
BART,__REFERENCE__,1.749366e-11
onmt_pg,__REFERENCE__,0.006264643
__REFERENCE__,seneca,2.02284e-09
BART,abssentrw,8.140312e-06
abssentrw,onmt_pg,0.05317948
abssentrw,seneca,7.67935e-05
BART,onmt_pg,9.385812e-06
BART,seneca,1.51866e-30
onmt_pg,seneca,3.207039e-19
__REFERENCE__,abssentrw,0.7580847
BART,__REFERENCE__,9.970924e-11
onmt_pg,__REFERENCE__,0.0001706487
__REFERENCE__,seneca,1.27126e-08
BART,abssentrw,2.984676e-07
onmt_pg,abssentrw,0.001705768
abssentrw,seneca,9.608657e-06
BART,onmt_pg,0.000115691
BART,seneca,2.652301e-25
onmt_pg,seneca,4.696264e-18
__REFERENCE__,abssentrw,0.912735
BART,__REFERENCE__,1.123481e-11
onmt_pg,__REFERENCE__,0.006693494
__REFERENCE__,seneca,6.143534e-08
BART,abssentrw,2.867272e-06
onmt_pg,abssentrw,0.01428995
abssentrw,seneca,0.0002648156
BART,onmt_pg,0.0006070986
BART,seneca,1.556562e-26
onmt_pg,seneca,9.45189e-14
__REFERENCE__,abssentrw,0.1843651
BART,__REFERENCE__,7.23024e-12
onmt_pg,__REFERENCE__,0.00324482
__REFERENCE__,seneca,4.849676e-07
BART,abssentrw,1.139719e-11
onmt_pg,abssentrw,9.573964e-06
abssentrw,seneca,0.00360334
BART,onmt_pg,8.311424e-07
BART,seneca,3.402524e-28
onmt_pg,seneca,3.844378e-11
__REFERENCE__,abssentrw,0.6981486
BART,__REFERENCE__,1.688934e-13
onmt_pg,__REFERENCE__,6.739703e-05
__REFERENCE__,seneca,0.006781277
BART,abssentrw,1.637713e-12
onmt_pg,abssentrw,6.086868e-06
abssentrw,seneca,0.05351961
BART,onmt_pg,1.109597e-05
BART,seneca,4.100626e-24
onmt_pg,seneca,4.11055e-08
__REFERENCE__,abssentrw,0.8666576
BART,__REFERENCE__,1.523162e-13
onmt_pg,__REFERENCE__,0.0006591074
__REFERENCE__,seneca,8.024079e-06
BART,abssentrw,7.38155e-10
onmt_pg,abssentrw,0.001159551
abssentrw,seneca,0.0003276185
BART,onmt_pg,9.025343e-05
BART,seneca,1.020112e-23
onmt_pg,seneca,7.381738e-14
__REFERENCE__,abssentrw,0.8028139
BART,__REFERENCE__,2.856584e-08
onmt_pg,__REFERENCE__,1.035591e-05
__REFERENCE__,seneca,0.0004680206
BART,abssentrw,8.509632e-05
onmt_pg,abssentrw,0.0002837627
abssentrw,seneca,0.002680967
BART,onmt_pg,0.1264325
BART,seneca,3.764808e-24
onmt_pg,seneca,5.952898e-13
__REFERENCE__,abssentrw,0.07656916
BART,__REFERENCE__,5.286895e-15
onmt_pg,__REFERENCE__,0.0001172903
__REFERENCE__,seneca,0.003744852
BART,abssentrw,1.245525e-15
onmt_pg,abssentrw,1.027951e-05
abssentrw,seneca,0.2183048
BART,onmt_pg,0.001428762
BART,seneca,3.769319e-19
onmt_pg,seneca,2.091012e-07
__REFERENCE__,abssentrw,0.2399866
BART,__REFERENCE__,1.692364e-10
onmt_pg,__REFERENCE__,0.009030923
__REFERENCE__,seneca,2.533772e-05
BART,abssentrw,1.086269e-10
onmt_pg,abssentrw,0.0001637187
abssentrw,seneca,0.001576698
BART,onmt_pg,1.164661e-05
BART,seneca,5.359253e-24
